start_time,c,h,l,o,t
1704924000000,0.01,0.01,0.01,0.01,1704924000
1704927600000,0.01,0.01,0.01,0.01,1704927600
1704931200000,0.01,0.01,0.01,0.01,1704931200
1704934800000,0.01,0.01,0.01,0.01,1704934800
1704938400000,0.01,0.01,0.01,0.01,1704938400
1704942000000,0.01,0.01,0.01,0.01,1704942000
1704945600000,0.01,0.01,0.01,0.01,1704945600
1704949200000,0.01,0.01,0.01,0.01,1704949200
1704952800000,0.01,0.01,0.01,0.01,1704952800
1704956400000,0.01,0.01,0.01,0.01,1704956400
1704960000000,0.01,0.01,0.01,0.01,1704960000
1704963600000,0.01,0.01,0.01,0.01,1704963600
1704967200000,0.01,0.01,0.01,0.01,1704967200
1704970800000,0.01,0.01,0.01,0.01,1704970800
1704974400000,0.01,0.01,0.01,0.01,1704974400
1704978000000,0.01,0.01,0.01,0.01,1704978000
1704981600000,0.01,0.01,0.01,0.01,1704981600
1704985200000,0.01,0.01,0.01,0.01,1704985200
1704988800000,0.01,0.01,0.01,0.01,1704988800
1704992400000,0.01,0.01,0.01,0.01,1704992400
1704996000000,0.01,0.01,0.01,0.01,1704996000
1704999600000,0.01,0.01,0.01,0.01,1704999600
1705003200000,0.01,0.01,0.01,0.01,1705003200
1705006800000,0.01,0.01,0.01,0.01,1705006800
1705010400000,0.01,0.01,0.01,0.01,1705010400
1705014000000,0.01,0.01,0.01,0.01,1705014000
1705017600000,0.01,0.01,0.01,0.01,1705017600
1705021200000,0.01,0.01,0.01,0.01,1705021200
1705024800000,0.01,0.01,0.01,0.01,1705024800
1705028400000,0.01,0.01,0.01,0.01,1705028400
1705032000000,0.01,0.01,0.01,0.01,1705032000
1705035600000,0.01,0.01,0.01,0.01,1705035600
1705039200000,0.01,0.01,0.01,0.01,1705039200
1705042800000,0.01,0.01,0.01,0.01,1705042800
1705046400000,0.01,0.01,0.01,0.01,1705046400
1705050000000,0.01,0.01,0.01,0.01,1705050000
1705053600000,0.01,0.01,0.01,0.01,1705053600
1705057200000,0.01,0.01,0.01,0.01,1705057200
1705060800000,0.01,0.01,0.01,0.01,1705060800
1705064400000,0.01,0.01,0.01,0.01,1705064400
1705068000000,0.01,0.01,0.01,0.01,1705068000
1705071600000,0.01,0.01,0.01,0.01,1705071600
1705075200000,0.01,0.01,0.01,0.01,1705075200
1705078800000,0.01,0.01,0.01,0.01,1705078800
1705082400000,0.016052,0.016052,0.01,0.01,1705082400
1705086000000,0.019293,0.019295,0.016052,0.016052,1705086000
1705089600000,0.014179,0.019709,0.014179,0.019293,1705089600
1705093200000,0.01,0.014482,0.01,0.014179,1705093200
1705096800000,0.01,0.01,0.01,0.01,1705096800
1705100400000,0.01,0.01,0.01,0.01,1705100400
1705104000000,0.01,0.01,0.01,0.01,1705104000
1705107600000,0.01,0.01,0.01,0.01,1705107600
1705111200000,0.01,0.01,0.01,0.01,1705111200
1705114800000,0.01,0.01,0.01,0.01,1705114800
1705118400000,0.01,0.01,0.01,0.01,1705118400
1705122000000,0.01,0.01,0.01,0.01,1705122000
