start_time,longShortRatio,time
1706022000000,1.17,1706022000
1706025600000,0.99,1706025600
1706029200000,1.04,1706029200
1706032800000,0.86,1706032800
1706036400000,1.11,1706036400
1706040000000,1.08,1706040000
1706043600000,0.89,1706043600
1706047200000,1.02,1706047200
1706050800000,1.39,1706050800
1706054400000,1.12,1706054400
1706058000000,0.77,1706058000
1706061600000,0.99,1706061600
1706065200000,0.88,1706065200
1706068800000,1.16,1706068800
1706072400000,1.29,1706072400
1706076000000,1.21,1706076000
1706079600000,1.12,1706079600
1706083200000,0.91,1706083200
1706086800000,0.97,1706086800
1706090400000,1.28,1706090400
1706094000000,0.91,1706094000
1706097600000,0.86,1706097600
1706101200000,0.99,1706101200
1706104800000,1.07,1706104800
1706108400000,1.16,1706108400
1706112000000,1.17,1706112000
1706115600000,1.04,1706115600
1706119200000,0.79,1706119200
1706122800000,1.09,1706122800
1706126400000,0.96,1706126400
1706130000000,1.11,1706130000
1706133600000,1.02,1706133600
1706137200000,1.05,1706137200
1706140800000,0.93,1706140800
1706144400000,0.79,1706144400
1706148000000,0.83,1706148000
1706151600000,1.26,1706151600
1706155200000,0.77,1706155200
1706158800000,0.85,1706158800
1706162400000,1.35,1706162400
1706166000000,1.26,1706166000
1706169600000,0.81,1706169600
1706173200000,0.92,1706173200
1706176800000,1.03,1706176800
1706180400000,1.32,1706180400
1706184000000,0.82,1706184000
1706187600000,0.93,1706187600
1706191200000,0.92,1706191200
1706194800000,0.99,1706194800
1706198400000,0.87,1706198400
1706202000000,1.0,1706202000
1706205600000,0.93,1706205600
1706209200000,1.16,1706209200
1706212800000,1.02,1706212800
1706216400000,1.02,1706216400
1706220000000,1.03,1706220000
1706223600000,0.95,1706223600
1706227200000,0.68,1706227200
1706230800000,0.9,1706230800
1706234400000,1.41,1706234400
1706238000000,0.79,1706238000
1706241600000,1.22,1706241600
1706245200000,0.88,1706245200
1706248800000,0.75,1706248800
1706252400000,1.16,1706252400
1706256000000,1.14,1706256000
1706259600000,1.0,1706259600
1706263200000,1.31,1706263200
1706266800000,1.18,1706266800
1706270400000,0.98,1706270400
1706274000000,0.92,1706274000
1706277600000,1.48,1706277600
1706281200000,0.89,1706281200
1706284800000,1.18,1706284800
1706288400000,0.88,1706288400
1706292000000,1.1,1706292000
1706295600000,0.85,1706295600
1706299200000,0.97,1706299200
1706302800000,1.08,1706302800
1706306400000,0.81,1706306400
1706310000000,0.82,1706310000
1706313600000,0.78,1706313600
1706317200000,1.29,1706317200
1706320800000,1.0,1706320800
1706324400000,1.09,1706324400
1706328000000,1.17,1706328000
1706331600000,0.85,1706331600
1706335200000,0.9,1706335200
1706338800000,0.91,1706338800
1706342400000,0.69,1706342400
1706346000000,1.25,1706346000
1706349600000,1.07,1706349600
1706353200000,0.87,1706353200
1706356800000,0.9,1706356800
1706360400000,1.02,1706360400
1706364000000,1.04,1706364000
1706367600000,1.13,1706367600
1706371200000,0.82,1706371200
1706374800000,0.84,1706374800
1706378400000,0.83,1706378400
1706382000000,1.51,1706382000
1706385600000,1.45,1706385600
1706389200000,1.15,1706389200
1706392800000,0.9,1706392800
1706396400000,0.7,1706396400
1706400000000,0.62,1706400000
1706403600000,1.15,1706403600
1706407200000,1.12,1706407200
1706410800000,1.19,1706410800
1706414400000,1.5,1706414400
1706418000000,0.83,1706418000
1706421600000,0.77,1706421600
1706425200000,0.87,1706425200
1706428800000,1.24,1706428800
1706432400000,1.15,1706432400
1706436000000,0.96,1706436000
1706439600000,0.77,1706439600
1706443200000,0.93,1706443200
1706446800000,0.97,1706446800
1706450400000,0.94,1706450400
1706454000000,0.92,1706454000
1706457600000,1.0,1706457600
1706461200000,0.83,1706461200
1706464800000,0.82,1706464800
1706468400000,0.79,1706468400
1706472000000,1.29,1706472000
1706475600000,1.18,1706475600
1706479200000,0.8,1706479200
1706482800000,1.44,1706482800
1706486400000,0.91,1706486400
1706490000000,1.38,1706490000
1706493600000,1.16,1706493600
1706497200000,1.04,1706497200
1706500800000,0.69,1706500800
1706504400000,0.73,1706504400
1706508000000,1.24,1706508000
1706511600000,0.7,1706511600
1706515200000,1.04,1706515200
1706518800000,1.2,1706518800
1706522400000,0.89,1706522400
1706526000000,0.78,1706526000
1706529600000,0.83,1706529600
1706533200000,0.89,1706533200
1706536800000,0.87,1706536800
1706540400000,1.4,1706540400
1706544000000,1.11,1706544000
1706547600000,0.91,1706547600
1706551200000,1.2,1706551200
1706554800000,1.04,1706554800
1706558400000,1.0,1706558400
1706562000000,1.03,1706562000
1706565600000,0.88,1706565600
1706569200000,1.4,1706569200
1706572800000,0.77,1706572800
1706576400000,1.44,1706576400
1706580000000,1.3,1706580000
1706583600000,0.95,1706583600
1706587200000,0.75,1706587200
1706590800000,0.94,1706590800
1706594400000,0.89,1706594400
1706598000000,1.17,1706598000
1706601600000,0.97,1706601600
1706605200000,0.89,1706605200
1706608800000,1.28,1706608800
1706612400000,1.12,1706612400
1706616000000,1.01,1706616000
1706619600000,0.87,1706619600
1706623200000,1.07,1706623200
1706626800000,0.9,1706626800
1706630400000,1.12,1706630400
1706634000000,0.9,1706634000
1706637600000,0.84,1706637600
1706641200000,1.22,1706641200
1706644800000,1.0,1706644800
1706648400000,1.02,1706648400
1706652000000,0.61,1706652000
1706655600000,0.8,1706655600
1706659200000,0.95,1706659200
1706662800000,0.87,1706662800
1706666400000,1.11,1706666400
1706670000000,1.11,1706670000
1706673600000,0.96,1706673600
1706677200000,1.11,1706677200
1706680800000,0.77,1706680800
1706684400000,0.96,1706684400
1706688000000,0.9,1706688000
1706691600000,0.75,1706691600
1706695200000,0.89,1706695200
1706698800000,1.29,1706698800
1706702400000,0.88,1706702400
1706706000000,1.24,1706706000
1706709600000,1.07,1706709600
1706713200000,1.12,1706713200
1706716800000,1.08,1706716800
1706720400000,1.21,1706720400
1706724000000,0.91,1706724000
1706727600000,0.93,1706727600
1706731200000,0.82,1706731200
1706734800000,0.95,1706734800
1706738400000,1.27,1706738400
1706742000000,0.88,1706742000
1706745600000,0.89,1706745600
1706749200000,0.88,1706749200
1706752800000,1.1,1706752800
1706756400000,0.86,1706756400
1706760000000,1.08,1706760000
1706763600000,1.34,1706763600
1706767200000,1.11,1706767200
1706770800000,1.07,1706770800
1706774400000,1.05,1706774400
1706778000000,0.71,1706778000
1706781600000,1.25,1706781600
1706785200000,0.76,1706785200
1706788800000,0.99,1706788800
1706792400000,0.93,1706792400
1706796000000,1.29,1706796000
1706799600000,0.86,1706799600
1706803200000,1.0,1706803200
1706806800000,1.08,1706806800
1706810400000,0.91,1706810400
1706814000000,1.47,1706814000
1706817600000,0.8,1706817600
1706821200000,1.12,1706821200
1706824800000,0.78,1706824800
1706828400000,1.3,1706828400
1706832000000,1.08,1706832000
1706835600000,0.97,1706835600
1706839200000,0.8,1706839200
1706842800000,0.84,1706842800
1706846400000,0.84,1706846400
1706850000000,1.74,1706850000
1706853600000,1.11,1706853600
1706857200000,0.79,1706857200
1706860800000,0.89,1706860800
1706864400000,1.03,1706864400
1706868000000,1.26,1706868000
1706871600000,1.01,1706871600
1706875200000,0.99,1706875200
1706878800000,0.75,1706878800
1706882400000,1.18,1706882400
1706886000000,1.2,1706886000
1706889600000,1.0,1706889600
1706893200000,0.73,1706893200
1706896800000,1.01,1706896800
1706900400000,1.51,1706900400
1706904000000,0.81,1706904000
1706907600000,0.94,1706907600
1706911200000,1.74,1706911200
1706914800000,0.95,1706914800
1706918400000,1.07,1706918400
1706922000000,0.9,1706922000
1706925600000,0.77,1706925600
1706929200000,0.92,1706929200
1706932800000,1.04,1706932800
1706936400000,0.74,1706936400
1706940000000,0.69,1706940000
1706943600000,0.79,1706943600
1706947200000,0.75,1706947200
1706950800000,1.51,1706950800
1706954400000,0.73,1706954400
1706958000000,0.78,1706958000
1706961600000,1.58,1706961600
1706965200000,1.04,1706965200
1706968800000,0.9,1706968800
1706972400000,1.07,1706972400
1706976000000,0.93,1706976000
1706979600000,1.24,1706979600
1706983200000,0.75,1706983200
1706986800000,0.9,1706986800
1706990400000,1.3,1706990400
1706994000000,1.01,1706994000
1706997600000,0.82,1706997600
1707001200000,0.78,1707001200
1707004800000,0.92,1707004800
1707008400000,1.14,1707008400
1707012000000,0.89,1707012000
1707015600000,1.21,1707015600
1707019200000,0.8,1707019200
1707022800000,0.93,1707022800
1707026400000,0.69,1707026400
1707030000000,1.42,1707030000
1707033600000,0.76,1707033600
1707037200000,1.24,1707037200
1707040800000,0.97,1707040800
1707044400000,1.18,1707044400
1707048000000,0.79,1707048000
1707051600000,0.86,1707051600
1707055200000,0.73,1707055200
1707058800000,1.46,1707058800
1707062400000,0.81,1707062400
1707066000000,0.94,1707066000
1707069600000,0.86,1707069600
1707073200000,0.82,1707073200
1707076800000,1.35,1707076800
1707080400000,0.88,1707080400
1707084000000,0.67,1707084000
1707087600000,1.01,1707087600
1707091200000,0.87,1707091200
1707094800000,1.26,1707094800
1707098400000,0.82,1707098400
1707102000000,1.71,1707102000
1707105600000,1.02,1707105600
1707109200000,0.95,1707109200
1707112800000,1.03,1707112800
1707116400000,1.31,1707116400
1707120000000,0.92,1707120000
1707123600000,0.95,1707123600
1707127200000,1.08,1707127200
1707130800000,0.85,1707130800
1707134400000,1.11,1707134400
1707138000000,1.09,1707138000
1707141600000,0.78,1707141600
1707145200000,0.85,1707145200
1707148800000,1.08,1707148800
1707152400000,1.11,1707152400
1707156000000,0.94,1707156000
1707159600000,1.02,1707159600
1707163200000,0.72,1707163200
1707166800000,1.03,1707166800
1707170400000,1.2,1707170400
1707174000000,1.28,1707174000
1707177600000,0.76,1707177600
1707181200000,1.28,1707181200
1707184800000,1.26,1707184800
1707188400000,0.88,1707188400
1707192000000,0.91,1707192000
1707195600000,0.88,1707195600
1707199200000,0.83,1707199200
1707202800000,1.48,1707202800
1707206400000,1.23,1707206400
1707210000000,0.85,1707210000
1707213600000,0.9,1707213600
1707217200000,0.95,1707217200
1707220800000,0.86,1707220800
1707224400000,1.12,1707224400
1707228000000,1.0,1707228000
1707231600000,1.23,1707231600
1707235200000,0.89,1707235200
1707238800000,0.94,1707238800
1707242400000,0.77,1707242400
1707246000000,1.15,1707246000
1707249600000,0.9,1707249600
1707253200000,1.19,1707253200
1707256800000,1.08,1707256800
1707260400000,0.69,1707260400
1707264000000,1.17,1707264000
1707267600000,0.93,1707267600
1707271200000,0.92,1707271200
1707274800000,0.78,1707274800
1707278400000,1.45,1707278400
1707282000000,1.17,1707282000
1707285600000,1.01,1707285600
1707289200000,0.94,1707289200
1707292800000,0.98,1707292800
1707296400000,1.35,1707296400
1707300000000,0.75,1707300000
1707303600000,1.08,1707303600
1707307200000,1.11,1707307200
1707310800000,1.12,1707310800
1707314400000,0.95,1707314400
1707318000000,1.08,1707318000
1707321600000,1.24,1707321600
1707325200000,1.19,1707325200
1707328800000,1.0,1707328800
1707332400000,0.91,1707332400
1707336000000,1.24,1707336000
1707339600000,0.95,1707339600
1707343200000,0.97,1707343200
1707346800000,1.15,1707346800
1707350400000,1.3,1707350400
1707354000000,0.87,1707354000
1707357600000,1.01,1707357600
1707361200000,0.79,1707361200
1707364800000,0.83,1707364800
1707368400000,1.4,1707368400
1707372000000,0.76,1707372000
1707375600000,1.15,1707375600
1707379200000,1.1,1707379200
1707382800000,0.88,1707382800
1707386400000,1.27,1707386400
1707390000000,0.81,1707390000
1707393600000,0.9,1707393600
1707397200000,1.3,1707397200
1707400800000,1.07,1707400800
1707404400000,1.01,1707404400
