start_time,close,datetime,high,low,open,volume
1724054400000,58608.27,2024-08-19 08:00:00,58660.85,58403.16,58502.19,555.99622
1724058000000,58006.59,2024-08-19 09:00:00,58671.38,57965.6,58608.28,1680.68671
1724061600000,58046.01,2024-08-19 10:00:00,58199.28,57787.3,58006.6,1538.43823
1724065200000,58396.95,2024-08-19 11:00:00,58520.21,57984.18,58046.01,968.93626
1724068800000,58412.0,2024-08-19 12:00:00,58520.13,58264.0,58396.94,536.51605
1724072400000,58199.99,2024-08-19 13:00:00,58970.0,58029.77,58412.01,2044.11579
1724076000000,58617.42,2024-08-19 14:00:00,58633.34,58075.49,58200.0,1293.04771
1724079600000,58539.24,2024-08-19 15:00:00,58777.0,58510.01,58617.42,754.64022
1724083200000,58705.99,2024-08-19 16:00:00,58716.11,58380.0,58539.25,651.87865
1724086800000,59021.61,2024-08-19 17:00:00,59290.0,58555.92,58706.0,1384.41843
1724090400000,59011.99,2024-08-19 18:00:00,59235.93,58732.0,59021.61,654.64785
1724094000000,58967.53,2024-08-19 19:00:00,59130.83,58873.87,59012.0,478.5332
1724097600000,59080.01,2024-08-19 20:00:00,59342.11,58914.0,58967.54,682.11094
1724101200000,58967.54,2024-08-19 21:00:00,59242.74,58967.53,59080.02,596.8178
1724104800000,59241.0,2024-08-19 22:00:00,59280.01,58967.54,58967.54,549.13208
1724108400000,59438.5,2024-08-19 23:00:00,59617.63,59089.95,59240.99,1374.80487
1724112000000,60482.78,2024-08-20 00:00:00,60643.51,59363.31,59438.5,3181.00267
1724115600000,60446.03,2024-08-20 01:00:00,60910.55,60378.02,60482.77,1770.45828
1724119200000,60528.83,2024-08-20 02:00:00,60552.64,60336.97,60446.04,792.76049
1724122800000,60619.18,2024-08-20 03:00:00,60619.19,60422.37,60528.84,648.12493
1724126400000,60865.61,2024-08-20 04:00:00,61000.0,60576.06,60619.19,1772.25079
1724130000000,61119.99,2024-08-20 05:00:00,61400.0,60860.01,60865.61,1810.14308
1724133600000,60960.84,2024-08-20 06:00:00,61144.02,60938.0,61120.0,799.15334
1724137200000,60924.33,2024-08-20 07:00:00,61020.74,60799.81,60960.84,894.38912
1724140800000,60765.13,2024-08-20 08:00:00,60947.4,60679.36,60924.33,998.77224
1724144400000,60856.04,2024-08-20 09:00:00,60975.0,60752.3,60765.14,630.87196
1724148000000,60716.01,2024-08-20 10:00:00,60878.01,60668.3,60856.04,492.5745
1724151600000,60518.82,2024-08-20 11:00:00,60734.91,60401.9,60716.01,1086.5587
1724155200000,60693.71,2024-08-20 12:00:00,60752.25,60502.83,60518.83,825.73743
1724158800000,60891.99,2024-08-20 13:00:00,60955.99,60324.33,60693.72,1511.42527
1724162400000,59461.8,2024-08-20 14:00:00,60904.0,59446.03,60892.0,4267.15555
1724166000000,58825.53,2024-08-20 15:00:00,59483.52,58680.01,59461.81,3840.52655
1724169600000,58801.15,2024-08-20 16:00:00,59046.76,58548.23,58825.53,1468.04254
1724173200000,59039.48,2024-08-20 17:00:00,59059.84,58681.4,58801.15,599.95694
1724176800000,59191.45,2024-08-20 18:00:00,59479.8,59000.0,59039.47,1065.47526
1724180400000,59511.99,2024-08-20 19:00:00,59597.28,59137.78,59191.45,544.56764
1724184000000,59317.57,2024-08-20 20:00:00,59722.72,59285.71,59512.0,724.21595
