start_time,buy,sell,time
1705251600000,2908.599,2938.765,1705251600
1705255200000,1747.072,2120.461,1705255200
1705258800000,4311.479,4545.076,1705258800
1705262400000,9643.972,12341.066,1705262400
1705266000000,10530.776,10564.683,1705266000
1705269600000,6439.522,6886.429,1705269600
1705273200000,12109.759,14595.513,1705273200
1705276800000,8271.605,7540.723,1705276800
1705280400000,3392.008,3505.803,1705280400
1705284000000,2353.315,2317.976,1705284000
1705287600000,5068.305,3949.1,1705287600
1705291200000,2401.592,2849.65,1705291200
1705294800000,4714.617,4232.016,1705294800
1705298400000,2149.452,2707.878,1705298400
1705302000000,3249.138,3491.027,1705302000
1705305600000,2524.263,2803.009,1705305600
1705309200000,2474.668,2518.928,1705309200
1705312800000,2575.547,2992.426,1705312800
1705316400000,2930.825,2377.367,1705316400
1705320000000,2675.992,2723.121,1705320000
1705323600000,5745.901,5094.476,1705323600
1705327200000,12196.882,15192.815,1705327200
1705330800000,6982.872,6551.41,1705330800
1705334400000,4348.478,3566.671,1705334400
1705338000000,5058.439,4916.015,1705338000
1705341600000,19099.252,16616.107,1705341600
1705345200000,5808.42,5899.752,1705345200
1705348800000,3246.788,3266.351,1705348800
1705352400000,2713.115,3013.037,1705352400
1705356000000,7648.779,7119.958,1705356000
1705359600000,3696.719,3486.187,1705359600
1705363200000,2569.204,2238.785,1705363200
1705366800000,2468.202,2260.64,1705366800
1705370400000,3005.014,2514.124,1705370400
1705374000000,3731.711,3300.306,1705374000
1705377600000,2404.169,3112.623,1705377600
1705381200000,1804.142,2344.633,1705381200
1705384800000,2603.802,2796.141,1705384800
1705388400000,2339.181,2625.955,1705388400
1705392000000,4709.81,4265.771,1705392000
1705395600000,5766.724,6594.845,1705395600
1705399200000,2272.043,2724.359,1705399200
1705402800000,2783.509,3016.022,1705402800
1705406400000,5690.141,4966.888,1705406400
1705410000000,5875.143,7576.983,1705410000
1705413600000,27369.832,27695.795,1705413600
1705417200000,22371.241,20186.797,1705417200
1705420800000,11984.811,12396.271,1705420800
1705424400000,4100.675,4796.075,1705424400
1705428000000,4989.955,5542.515,1705428000
1705431600000,3419.993,3119.244,1705431600
1705435200000,6424.47,6767.748,1705435200
1705438800000,7762.394,7082.241,1705438800
1705442400000,3024.883,3747.876,1705442400
1705446000000,3025.786,3037.761,1705446000
1705449600000,2383.035,2341.32,1705449600
1705453200000,2812.743,3341.365,1705453200
1705456800000,2303.442,2606.015,1705456800
1705460400000,2193.563,2619.721,1705460400
1705464000000,3394.937,3048.344,1705464000
1705467600000,2132.798,2107.385,1705467600
1705471200000,1846.271,1894.369,1705471200
1705474800000,4639.431,5485.425,1705474800
1705478400000,4121.083,3300.138,1705478400
1705482000000,2863.564,2706.704,1705482000
1705485600000,3915.038,3036.335,1705485600
1705489200000,2380.247,2808.188,1705489200
1705492800000,7539.166,7578.888,1705492800
1705496400000,3953.923,4519.791,1705496400
1705500000000,14019.593,14163.077,1705500000
1705503600000,8381.548,8694.519,1705503600
1705507200000,7219.641,7097.682,1705507200
1705510800000,5088.202,4779.447,1705510800
1705514400000,4913.354,4529.226,1705514400
1705518000000,3906.875,3337.67,1705518000
1705521600000,5862.934,7135.848,1705521600
1705525200000,2950.535,2567.963,1705525200
1705528800000,2704.685,2705.614,1705528800
1705532400000,2853.992,2610.447,1705532400
1705536000000,1929.203,2336.114,1705536000
1705539600000,2325.166,2661.982,1705539600
1705543200000,1659.661,1584.849,1705543200
1705546800000,1210.144,1624.838,1705546800
1705550400000,1311.03,1085.883,1705550400
1705554000000,2121.059,2207.832,1705554000
1705557600000,3289.338,3074.581,1705557600
1705561200000,3084.224,3511.709,1705561200
1705564800000,2228.594,3205.927,1705564800
1705568400000,3115.802,3170.65,1705568400
1705572000000,5518.848,7187.027,1705572000
1705575600000,4776.784,4601.042,1705575600
1705579200000,4273.304,4096.452,1705579200
1705582800000,5883.787,5284.855,1705582800
1705586400000,5771.401,5430.419,1705586400
1705590000000,5117.254,6064.01,1705590000
1705593600000,19334.702,26021.592,1705593600
1705597200000,17725.668,19326.648,1705597200
1705600800000,14387.094,14586.84,1705600800
1705604400000,17670.317,22259.942,1705604400
1705608000000,19147.845,19390.006,1705608000
1705611600000,10987.487,9162.741,1705611600
1705615200000,4681.987,4461.803,1705615200
1705618800000,2442.644,2749.671,1705618800
1705622400000,4184.03,4459.448,1705622400
1705626000000,3171.922,2898.646,1705626000
