start_time,active_address,exchange_inflow,exchange_outflow,price,transaction_count
1709298000000,262,0.05137046,13.46297953,62457.98,187
1709301600000,1680,0.61122048,10.40519221,61948.3,803
1709305200000,754,0.38917666,22.43061709,61263.99,533
1709308800000,1681,1.76539935,15.65618776,61427.38,733
1709312400000,1344,0.65926131,12.86221344,61909.98,567
1709316000000,1647,0.88862952,22.05619004,62333.52,689
1709319600000,3874,0.05452463,1.6073714,62215.5,322
1709323200000,793,0.21139742,25.01766822,62861.11,453
1709326800000,978,0.07203587,35.42782803,62520.47,662
1709330400000,1171,0.05300675,12.86323542,62490.09,297
1709334000000,735,2.99044173,19.84187166,62387.9,580
1709337600000,499,0.18357772,10.64255956,62299.99,284
1709341200000,351,0.1198807,9.07373029,62030.01,302
1709344800000,476,1.06218105,12.34601745,62111.18,355
1709348400000,352,3.86126657,20.1880781,62307.45,269
1709352000000,1317,0.17146373,14.07963214,62035.95,246
1709355600000,2416,2.98154257,6.90077014,62006.55,341
1709359200000,542,0.13623552,8.70360267,61946.0,294
1709362800000,360,2.37240707,7.57900167,62011.85,357
1709366400000,474,0.723029,6.28847278,61939.64,286
1709370000000,539,1.67058588,7.82555397,61843.06,422
1709373600000,1064,2.90237096,17.55537847,61904.86,425
1709377200000,407,0.23782678,6.88400679,61826.32,405
1709380800000,1206,1.54599026,3.66875063,62078.66,493
1709384400000,492,0.25871642,7.62904981,61803.69,403
1709388000000,421,0.30232985,3.03332058,61840.12,817
1709391600000,423,0.12444266,13.93728341,61771.2,367
1709395200000,1516,0.12813779,5.85675076,61854.29,317
1709398800000,522,0.04572074,8.29100712,61761.11,401
1709402400000,1332,0.41869155,3.14749334,62024.29,1500
1709406000000,422,1.705527,9.65317962,62114.77,365
1709409600000,937,0.80598717,3.49957416,61873.2,522
1709413200000,225,0.0684978,2.41082855,61898.73,184
1709416800000,835,0.28645375,3.32396836,61685.02,547
1709420400000,222,0.2574937,22.21387658,61987.28,180
1709424000000,596,0.62711077,11.90366409,61736.9,383
1709427600000,401,0.12985892,5.14720903,61795.53,300
1709431200000,1959,3.46028854,4.12330962,61808.73,226
1709434800000,360,0.28941617,12.25548162,61931.09,219
1709438400000,1133,2.87140358,5.31100382,62016.25,217
1709442000000,150,0.23689693,4.20469863,61900.0,148
1709445600000,425,3.03632495,15.86135632,61865.01,252
1709449200000,927,0.55317464,11.88938744,61598.0,301
1709452800000,1535,2.34524284,4.76851471,61597.11,346
1709456400000,263,0.08598954,7.56817809,61715.05,270
1709460000000,590,2.64624019,5.51657878,61655.57,257
1709463600000,333,0.10264898,6.02714427,61831.1,315
1709467200000,2033,1.68334784,6.93365744,62184.02,346
1709470800000,369,0.53756218,11.3726105,62393.86,314
1709474400000,582,1.85720501,10.8972797,62102.68,495
1709478000000,210,0.72460844,5.76015852,62164.63,197
1709481600000,353,0.03394072,11.20352769,62845.15,160
1709485200000,452,1.04643848,11.00529859,62570.01,391
1709488800000,547,0.25918138,9.41313904,62811.1,325
1709492400000,290,2.45280631,4.93262489,62730.0,279
1709496000000,1681,0.66737702,5.90615051,62757.99,879
1709499600000,401,0.17483995,1.69877058,62827.11,367
1709503200000,298,0.06839005,9.94111198,62827.43,281
1709506800000,276,0.03909394,1.4897766,63113.97,246
1709510400000,111,0.14616345,6.4508135,63459.3,94
1709514000000,240,0.19481416,10.95112457,63512.41,231
1709517600000,329,1.98779361,10.66520865,63687.43,268
1709521200000,223,0.16965937,7.06849596,63458.72,151
1709524800000,286,2.14791205,11.31203905,63634.36,300
1709528400000,178,0.20614385,8.64251172,63358.0,177
1709532000000,2044,4.14090869,9.98565014,63689.17,431
1709535600000,1103,0.8897621,8.6690634,64066.62,480
1709539200000,480,0.3489756,20.57686269,65241.08,386
1709542800000,573,0.48975638,17.76275974,65290.29,582
1709546400000,554,1.90079528,21.7414948,65068.18,502
1709550000000,277,4.94356469,6.44738839,65230.0,276
1709553600000,2206,1.33388678,7.98946302,65123.7,839
1709557200000,484,0.45443266,16.64698662,65111.21,473
1709560800000,1768,3.19543291,25.13828717,66169.41,829
1709564400000,367,0.47490102,25.72778965,66451.65,318
1709568000000,1421,0.16830632,14.03892062,66539.82,366
1709571600000,323,0.15900698,18.92413925,66858.74,199
1709575200000,446,0.21229782,14.18687296,66617.57,363
1709578800000,1356,0.59174285,22.95094317,67405.26,883
1709582400000,1230,3.12117682,23.30193808,67427.16,726
1709586000000,802,0.21453349,38.1587664,67404.86,702
1709589600000,618,0.21892982,2.7066005,67929.11,262
1709593200000,1540,0.85269983,11.89827329,68245.71,928
1709596800000,1468,1.59582819,14.35923054,68034.01,651
1709600400000,167,1.09946792,28.92296566,68506.04,148
