start_time,open_interest,high open interest,low open interest,open value of open interest,funding_rate,high funding rate,low funding rate,open funding rate,long_short_ratio,longShortRatio,shortAccount,active_address,exchange_inflow_x,exchange_outflow_x,price_x,transaction_count_x,active_addresses,exchange_inflow_y,exchange_outflow_y,price_y,transaction_count_y
1706400000000.0,77702.95,77958.55,77428.41,77936.38,0.01,0.01,0.01,0.01,59.57,1.47,40.43,2731,0.70142069,2.86026546,41990.85,417,66162,0.8412413675783854,1.170035987476871,42001.43672926056,38080
1706490000000.0,75291.72,75298.64,75144.94,75159.44,0.01,0.01,0.01,0.01,61.05,1.57,38.95,1109,1.23634823,5.66060222,42160.21,653,84026,0.6671403699960459,0.7668116671536388,42153.90783253021,50884
1706490000000.0,75427.64,75533.81,75216.36,75291.72,0.01,0.01,0.01,0.01,61.27,1.58,38.73,1109,1.23634823,5.66060222,42160.21,653,84026,0.6671403699960459,0.7668116671536388,42153.90783253021,50884
1706490000000.0,75801.24,75806.51,75293.57,75427.64,0.01,0.01,0.01,0.01,62.03,1.63,37.97,1109,1.23634823,5.66060222,42160.21,653,84026,0.6671403699960459,0.7668116671536388,42153.90783253021,50884
1706580000000.0,77315.13,77546.78,76934.66,77432.48,0.009428,0.009642,0.008612,0.009352,57.0,1.33,43.0,1209,1.96851609,16.73999433,43615.15,376,60062,1.3064313443486844,1.4580356846611342,43629.31709206992,36918
1706580000000.0,77425.99,77618.7,76979.56,77315.13,0.01,0.01,0.009428,0.009428,56.36,1.29,43.64,1209,1.96851609,16.73999433,43615.15,376,60062,1.3064313443486844,1.4580356846611342,43629.31709206992,36918
1706580000000.0,77629.04,77629.04,77217.9,77425.99,0.01,0.01,0.01,0.01,56.49,1.3,43.51,1209,1.96851609,16.73999433,43615.15,376,60062,1.3064313443486844,1.4580356846611342,43629.31709206992,36918
1706670000000.0,73445.0,73661.2,73427.86,73629.11,0.009748,0.009748,0.005799,0.005799,54.47,1.2,45.53,593,0.27849298,14.11454627,42930.07,382,42753,1.1641043104018372,0.9192911091343092,42918.7423319342,19375
1706670000000.0,73449.66,73600.29,73402.06,73445.0,0.01,0.01,0.009748,0.009748,55.19,1.23,44.81,593,0.27849298,14.11454627,42930.07,382,42753,1.1641043104018372,0.9192911091343092,42918.7423319342,19375
1706670000000.0,73616.69,73752.35,73449.66,73449.66,0.01,0.01,0.01,0.01,55.66,1.26,44.34,593,0.27849298,14.11454627,42930.07,382,42753,1.1641043104018372,0.9192911091343092,42918.7423319342,19375
