start_time,active_addresses,exchange_inflow,exchange_outflow,price,transaction_count
1726534800000,16398,0.3797619232641771,0.6304387008157526,57893.18220808514,2875
1726538400000,62086,0.4094236960587761,0.4523846780456955,58096.39141889848,20075
1726542000000,31678,0.7753535294057726,1.0923673381078332,58079.96387766734,29779
1726545600000,34150,0.6453894106885759,0.7467747672299169,58277.30401391867,75431
1726549200000,25571,0.2398050600661001,0.4095635962798634,58751.840237907454,51477
1726552800000,30847,0.2935641382041216,0.6636354956790124,58516.302415014325,10402
1726556400000,71557,0.2254200966581942,0.808275375239521,58666.70270701664,14152
1726560000000,46501,0.3414547634444444,0.6627160888348625,58779.58488131338,29525
1726563600000,22917,0.5400620844886364,0.3461391691722973,59010.458960269614,35456
1726567200000,51232,0.450539502696251,0.3908388708438657,59262.32110228752,32264
1726570800000,25774,0.2583238605637254,0.4841724941153342,59130.32767566961,21480
1726574400000,56397,0.3511527269098713,1.1706834132664232,59401.20106160953,27508
1726578000000,57282,0.5829132286500956,1.0694181755133298,58910.32276711716,38354
1726581600000,47945,1.4160352366572295,2.036554076061928,60267.89445591245,20893
1726585200000,55456,0.9511959895844876,1.327869760340012,61083.12704333071,16580
1726588800000,44023,1.4367380227422406,2.1196860623844733,60922.52615639517,11014
1726592400000,36359,0.3726923962452971,1.4783292737704907,60926.61588679312,10351
1726596000000,12538,1.6741138778787883,1.0925715605,60514.19811192147,3278
1726599600000,79590,0.5336053146603398,0.8726393908852832,60144.57305352305,20820
1726603200000,62905,0.7926502597723705,1.7154564981528242,60109.91673606078,16909
1726606800000,50519,0.304017393772527,0.3942931913400834,60339.64357386078,19340
1726610400000,37881,0.1833685098116169,0.2570279450905433,60279.58571215596,12527
1726614000000,44688,0.2655417638970588,0.4048119427847048,60304.89128411122,13799
1726617600000,29704,0.3423499348319708,0.7153227256378601,60263.392602453976,35555
1726621200000,35844,0.756226937076613,0.8617144298351647,60085.46820113138,8185
1726624800000,39048,0.392204978170638,0.7916320193897884,60239.84208636947,15305
1726628400000,34013,0.3371293823765996,0.5381580573412699,60541.16875251711,29415
1726632000000,45501,0.6136305815964673,1.431472126949602,60386.50636069188,39114
1726635600000,27643,0.3337049183016208,0.647097158215054,60261.30987280983,29786
1726639200000,24580,0.2593079133955858,0.4709625170382165,60454.927005881145,15624
1726642800000,46554,0.2990056184228539,0.5363081482893745,60455.99681246757,19821
1726646400000,31435,1.5336507078322772,0.57202350198188,60188.06515819698,29405
1726650000000,43257,0.6045614875610947,0.7277876060118655,59779.85356377109,32844
1726653600000,45247,0.3983500276056131,0.8620047880560398,59855.43605027243,41785
1726657200000,37559,0.2906333381440444,0.8983164252419319,59879.77658845278,49297
1726660800000,51680,0.2594223199452464,0.2316127715963134,59935.13115346314,19700
1726664400000,28459,0.4936731426978418,1.0369375416939892,59447.437676714464,12471
1726668000000,46763,0.4841582927162225,0.901089322732308,59587.540763961886,16776
1726671600000,50245,0.3889434555602241,0.4459401678190744,59484.7856020297,17671
