start_time,datetime,reserve,reserve_usd
1705312800000,2024-01-15 10:00:00,599018.44630646,25543803233.9183
1705316400000,2024-01-15 11:00:00,598832.83999815,25493086515.94828
1705320000000,2024-01-15 12:00:00,598154.00777841,25529808468.10185
1705323600000,2024-01-15 13:00:00,597801.62252327,25550657913.36762
1705327200000,2024-01-15 14:00:00,599816.58885616,25333785099.21405
1705330800000,2024-01-15 15:00:00,599575.15483357,25310237945.75707
1705334400000,2024-01-15 16:00:00,600023.94499993,25469086178.06356
1705338000000,2024-01-15 17:00:00,599863.68154335,25609405106.517723
1705341600000,2024-01-15 18:00:00,601126.79122008,26035813107.651844
1705345200000,2024-01-15 19:00:00,601084.06796623,25779045510.769283
1705348800000,2024-01-15 20:00:00,600996.28798119,25868440274.238605
1705352400000,2024-01-15 21:00:00,601895.90504779,25746821370.132458
1705356000000,2024-01-15 22:00:00,602420.46302842,25649120087.96012
1705359600000,2024-01-15 23:00:00,602351.19040343,25650926377.27864
1705363200000,2024-01-16 00:00:00,602618.4456108,25649022843.770164
1705366800000,2024-01-16 01:00:00,602434.97660339,25653841096.172146
1705370400000,2024-01-16 02:00:00,601697.61654385,25632485347.274677
1705374000000,2024-01-16 03:00:00,601575.51636305,25737483071.417763
1705377600000,2024-01-16 04:00:00,602096.65081325,25747574556.4031
1705381200000,2024-01-16 05:00:00,601874.22848577,25766108283.858734
1705384800000,2024-01-16 06:00:00,602091.04715756,25708041800.72344
1705388400000,2024-01-16 07:00:00,602093.06222549,25664215232.005375
1705392000000,2024-01-16 08:00:00,602173.56847117,25824906246.13991
1705395600000,2024-01-16 09:00:00,601808.66756789,25872104056.966465
1705399200000,2024-01-16 10:00:00,602138.58339661,25802583223.845383
1705402800000,2024-01-16 11:00:00,601811.09410479,25796915943.9931
1705406400000,2024-01-16 12:00:00,601626.24241894,25899440433.42396
1705410000000,2024-01-16 13:00:00,601715.89339024,25763738192.700996
1705413600000,2024-01-16 14:00:00,601251.2640905,25639128416.429607
1705417200000,2024-01-16 15:00:00,600267.54415036,25968139671.268738
1705420800000,2024-01-16 16:00:00,600525.61405536,25959573229.02901
1705424400000,2024-01-16 17:00:00,600327.65656305,25842556970.87918
1705428000000,2024-01-16 18:00:00,600318.09500954,25826990947.069145
1705431600000,2024-01-16 19:00:00,599869.43104474,25872536191.844715
1705435200000,2024-01-16 20:00:00,600093.52293179,25874354404.951725
1705438800000,2024-01-16 21:00:00,599890.61079184,26034154987.33527
1705442400000,2024-01-16 22:00:00,599388.08449263,26003462289.475246
1705446000000,2024-01-16 23:00:00,599130.35981428,25883219058.200756
1705449600000,2024-01-17 00:00:00,599704.25176629,25839206128.482407
1705453200000,2024-01-17 01:00:00,599531.04055096,25780296505.652245
1705456800000,2024-01-17 02:00:00,599402.11425362,25797806489.203083
1705460400000,2024-01-17 03:00:00,599173.27266249,25717914432.600945
1705464000000,2024-01-17 04:00:00,599091.28570625,25668236914.26833
1705467600000,2024-01-17 05:00:00,598835.47238543,25631998409.866676
1705471200000,2024-01-17 06:00:00,598636.23303128,25649464357.95851
1705474800000,2024-01-17 07:00:00,598557.34817549,25600094812.530453
1705478400000,2024-01-17 08:00:00,599710.24752686,25600861898.91045
1705482000000,2024-01-17 09:00:00,599664.95723185,25651035572.13056
1705485600000,2024-01-17 10:00:00,599332.68379215,25662978682.654858
1705489200000,2024-01-17 11:00:00,599370.21121392,25574658617.137737
1705492800000,2024-01-17 12:00:00,599125.57053732,25574913886.559258
1705496400000,2024-01-17 13:00:00,599195.98135826,25547906851.30432
1705500000000,2024-01-17 14:00:00,599005.75079213,25650139513.177814
1705503600000,2024-01-17 15:00:00,599122.51233271,25476198974.696182
1705507200000,2024-01-17 16:00:00,600159.49806654,25379010783.847584
1705510800000,2024-01-17 17:00:00,600065.2123289,25443949984.74576
1705514400000,2024-01-17 18:00:00,600629.74419519,25516803780.876156
1705518000000,2024-01-17 19:00:00,600525.01718115,25565283205.73965
1705521600000,2024-01-17 20:00:00,600429.20776342,25590417141.77787
1705525200000,2024-01-17 21:00:00,599470.42745403,25564316703.552265
1705528800000,2024-01-17 22:00:00,599477.52315058,25500800007.790222
1705532400000,2024-01-17 23:00:00,600404.52932963,25642021248.96844
1705536000000,2024-01-18 00:00:00,600418.03520268,25592965098.933895
