start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1704852000000,2024-01-10 02:00:00,0.50264624,1.01064127,120850030.62499,0.49735376,119577573.38882
1704855600000,2024-01-10 03:00:00,0.48462399,0.9403309,133905240.28861,0.51537601,142402254.6336
1704859200000,2024-01-10 04:00:00,0.44757052,0.81018581,120871963.40961,0.55242948,149190422.31346
1704862800000,2024-01-10 05:00:00,0.50914176,1.03724805,95220092.4843,0.49085824,91800695.68882
1704866400000,2024-01-10 06:00:00,0.4836466,0.9366581,83727580.5564,0.5163534,89389693.29612
1704870000000,2024-01-10 07:00:00,0.45231769,0.82587602,158767262.3542,0.54768231,192241037.93673
1704873600000,2024-01-10 08:00:00,0.42209162,0.73037809,299184522.73189,0.57790838,409629649.33724
1704877200000,2024-01-10 09:00:00,0.4981659,0.99269043,329127679.32801,0.5018341,331551176.1393
1704880800000,2024-01-10 10:00:00,0.48504454,0.94191553,129011586.4552,0.51495546,136967256.38583
1704884400000,2024-01-10 11:00:00,0.43693939,0.77600774,335262738.18133,0.56306061,432035300.23023
1704888000000,2024-01-10 12:00:00,0.45355165,0.82999913,1113843304.3084,0.54644835,1341981288.39662
1704891600000,2024-01-10 13:00:00,0.51445664,1.05954828,868757548.61221,0.48554336,819932011.19206
1704895200000,2024-01-10 14:00:00,0.47169426,0.89284334,495155161.0682,0.52830574,554582354.96986
1704898800000,2024-01-10 15:00:00,0.52105114,1.08790558,767483951.93305,0.47894886,705469267.95349
1704902400000,2024-01-10 16:00:00,0.48472789,0.94072217,522246623.02044,0.51527211,555155007.72355
1704906000000,2024-01-10 17:00:00,0.52709779,1.11460208,869503052.17912,0.47290221,780101764.65632
1704909600000,2024-01-10 18:00:00,0.51116627,1.04568533,918635728.0609,0.48883373,878501115.50774
1704913200000,2024-01-10 19:00:00,0.48450976,0.93990094,693734393.07485,0.51549024,738093093.21563
1704916800000,2024-01-10 20:00:00,0.47923548,0.9202537,2495115274.75529,0.52076452,2711334139.3595
1704920400000,2024-01-10 21:00:00,0.49729214,0.98922689,1386328390.5639,0.50270786,1401426114.65345
1704924000000,2024-01-10 22:00:00,0.52928877,1.12444476,974234070.80554,0.47071123,866413455.26594
1704927600000,2024-01-10 23:00:00,0.49531522,0.98143481,1379373827.55823,0.50468478,1405466575.59808
1704931200000,2024-01-11 00:00:00,0.4928312,0.97173012,368940374.86833,0.5071688,379673706.86695
1704934800000,2024-01-11 01:00:00,0.50213402,1.00857267,198713070.46383,0.49786598,197024047.3659
1704938400000,2024-01-11 02:00:00,0.49841953,0.99369804,97388679.1877,0.50158047,98006310.8199
1704942000000,2024-01-11 03:00:00,0.43972308,0.7848317,239655615.2867,0.56027692,305359245.44119
1704945600000,2024-01-11 04:00:00,0.44669389,0.80731782,112892238.64828,0.55330611,139836177.53667
1704949200000,2024-01-11 05:00:00,0.42667605,0.74421458,241335898.76151,0.57332395,324282680.56967
1704952800000,2024-01-11 06:00:00,0.46018886,0.85249974,338499132.60231,0.53981114,397066550.14823
1704956400000,2024-01-11 07:00:00,0.53643986,1.15721739,201322369.92043,0.46356014,173971089.6232
1704960000000,2024-01-11 08:00:00,0.54625688,1.20389018,174757532.8829,0.45374312,145160692.8075
1704963600000,2024-01-11 09:00:00,0.47917815,0.92004232,124493133.33496,0.52082185,135312398.802
1704967200000,2024-01-11 10:00:00,0.53971791,1.17258075,429620263.01533,0.46028209,366388636.78
1704970800000,2024-01-11 11:00:00,0.5168011,1.06954114,485822822.72312,0.4831989,454234815.51213
1704974400000,2024-01-11 12:00:00,0.50849001,1.03454663,503373167.60197,0.49150999,486564022.21453
