start_time,datetime,flow_mean,flow_total,transactions_count_flow
1705197600000,2024-01-14 02:00:00,2.54645347,134.962034,53
1705201200000,2024-01-14 03:00:00,2.07998029,62.39940859,30
1705204800000,2024-01-14 04:00:00,1.00984734,24.23633611,24
1705208400000,2024-01-14 05:00:00,1.95317312,68.36105937,35
1705212000000,2024-01-14 06:00:00,3.22437056,132.19919303,41
1705215600000,2024-01-14 07:00:00,2.06166212,55.66487716,27
1705219200000,2024-01-14 08:00:00,1.99272276,99.63613776,50
1705222800000,2024-01-14 09:00:00,6.72122207,221.80032836,33
1705226400000,2024-01-14 10:00:00,2.31634526,125.08264401,54
1705230000000,2024-01-14 11:00:00,11.06389535,254.46959316,23
1705233600000,2024-01-14 12:00:00,4.81990982,178.33666328,37
1705237200000,2024-01-14 13:00:00,2.62622114,120.80617229,46
1705240800000,2024-01-14 14:00:00,2.25367938,87.89349574,39
1705244400000,2024-01-14 15:00:00,2.55476874,68.97875602,27
1705248000000,2024-01-14 16:00:00,7.54844811,256.64723575,34
1705251600000,2024-01-14 17:00:00,5.91100545,153.68614171,26
1705255200000,2024-01-14 18:00:00,2.48145503,101.73965621,41
1705258800000,2024-01-14 19:00:00,3.19174634,165.97080968,52
1705262400000,2024-01-14 20:00:00,4.10768041,119.12273183,29
1705266000000,2024-01-14 21:00:00,2.6039909,109.36761763,42
1705269600000,2024-01-14 22:00:00,2.90401819,78.40849116,27
1705273200000,2024-01-14 23:00:00,1.40847041,56.33881651,40
1705276800000,2024-01-15 00:00:00,2.57351581,95.22008502,37
1705280400000,2024-01-15 01:00:00,4.65337883,176.82839572,38
1705284000000,2024-01-15 02:00:00,7.68353751,315.0250379,41
1705287600000,2024-01-15 03:00:00,1.89106639,68.07838995,36
1705291200000,2024-01-15 04:00:00,3.83143065,206.89725529,54
1705294800000,2024-01-15 05:00:00,1.88745235,67.94828465,36
1705298400000,2024-01-15 06:00:00,2.65032403,111.31360909,42
1705302000000,2024-01-15 07:00:00,6.89910412,255.26685239,37
1705305600000,2024-01-15 08:00:00,3.67044699,91.76117486,25
1705309200000,2024-01-15 09:00:00,1.01964148,36.7070933,36
1705312800000,2024-01-15 10:00:00,4.85572345,199.0846614,41
1705316400000,2024-01-15 11:00:00,5.11650182,168.84456004,33
1705320000000,2024-01-15 12:00:00,10.94386647,361.14759361,33
1705323600000,2024-01-15 13:00:00,3.33722811,130.15189617,39
1705327200000,2024-01-15 14:00:00,4.5823929,270.36118137,59
1705330800000,2024-01-15 15:00:00,0.97173009,30.12363282,31
1705334400000,2024-01-15 16:00:00,1.677891,48.65883895,29
1705338000000,2024-01-15 17:00:00,1.86238041,63.32093386,34
1705341600000,2024-01-15 18:00:00,1.73155461,51.94663828,30
1705345200000,2024-01-15 19:00:00,1.82066085,67.36445158,37
1705348800000,2024-01-15 20:00:00,3.40086672,47.61213401,14
1705352400000,2024-01-15 21:00:00,4.7281099,264.77415448,56
1705356000000,2024-01-15 22:00:00,2.99455208,104.80932296,35
1705359600000,2024-01-15 23:00:00,4.36369107,157.09287859,36
1705363200000,2024-01-16 00:00:00,2.46544186,76.42869764,31
1705366800000,2024-01-16 01:00:00,1.48174048,35.56177163,24
