start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd
1704787200000,2024-01-09 08:00:00,5.72598123,266113.7178,0.341,16024.15513
1704790800000,2024-01-09 09:00:00,3.09875563,143596.97569,0.126,5887.49232
1704794400000,2024-01-09 10:00:00,1.26866345,58694.99124,1.195,55983.30344
1704798000000,2024-01-09 11:00:00,0.071,3298.33455,0.642,30041.84133
1704801600000,2024-01-09 12:00:00,14.85485428,686092.06351,19.06121798,892494.44963
1704805200000,2024-01-09 13:00:00,4.43845684,204871.96271,15.46306488,725300.93596
1704808800000,2024-01-09 14:00:00,6.784712,315309.68967,1.68941914,79536.34053
1704812400000,2024-01-09 15:00:00,5.61505573,260586.53079,13.65394957,642386.00227
1704816000000,2024-01-09 16:00:00,0.386,17976.97311,1.196,56251.33706
1704819600000,2024-01-09 17:00:00,4.82410749,224220.42154,0.68,31986.79985
1704823200000,2024-01-09 18:00:00,4.16772856,193190.31186,0.087,4071.4407
1704826800000,2024-01-09 19:00:00,0.105,4890.64728,11.9342768,561159.08052
1704830400000,2024-01-09 20:00:00,4.701,218702.91979,2.72746694,128121.66074
1704834000000,2024-01-09 21:00:00,197.6436995,9085466.59167,43.3957901,2036778.97998
1704837600000,2024-01-09 22:00:00,12.39143582,565088.50838,18.84447434,869089.93571
1704841200000,2024-01-09 23:00:00,1.80110917,82574.51806,1.623,75203.93778
1704844800000,2024-01-10 00:00:00,1.73790654,79547.60814,2.06728016,95822.81226
1704848400000,2024-01-10 01:00:00,5.70946935,259871.75182,2.831,130465.03404
1704852000000,2024-01-10 02:00:00,0.0,0.0,3.307,152957.61908
1704855600000,2024-01-10 03:00:00,0.039,1794.14351,5.05770573,234476.20766
1704859200000,2024-01-10 04:00:00,18.6941456,857816.76094,1.007,46631.80761
1704862800000,2024-01-10 05:00:00,9.85102186,450323.29945,0.013,599.57235
1704866400000,2024-01-10 06:00:00,2.25902187,103361.68886,0.039,1803.51366
1704870000000,2024-01-10 07:00:00,3.61555538,164997.83428,0.0,0.0
1704873600000,2024-01-10 08:00:00,23.68501287,1074447.85384,0.001,43.7179
1704877200000,2024-01-10 09:00:00,0.35335417,16005.09013,3.455,158316.53206
1704880800000,2024-01-10 10:00:00,0.574,26039.76546,12.45292231,572110.42087
1704884400000,2024-01-10 11:00:00,6.65796018,301253.95426,2.955,134823.89577
1704888000000,2024-01-10 12:00:00,21.14929136,944846.467,5.12306598,233004.27188
1704891600000,2024-01-10 13:00:00,12.03261692,538328.05691,21.75817752,980752.01499
1704895200000,2024-01-10 14:00:00,25.67377957,1150255.82013,7.92194821,360186.03345
1704898800000,2024-01-10 15:00:00,5.15881288,231394.81032,5.71792771,260067.88339
1704902400000,2024-01-10 16:00:00,7.05350776,318500.47314,7.15382421,326966.44513
1704906000000,2024-01-10 17:00:00,1.33970651,60955.25664,36.38518485,1682266.47116
1704909600000,2024-01-10 18:00:00,9.08876079,419168.70423,9.12263497,425544.86989
1704913200000,2024-01-10 19:00:00,8.67018562,399271.0302,10.12439455,471978.74544
1704916800000,2024-01-10 20:00:00,45.73408696,2077180.99469,22.54716349,1037931.25654
1704920400000,2024-01-10 21:00:00,24.78227917,1128234.21616,17.33243389,799838.84815
1704924000000,2024-01-10 22:00:00,3.9121082,180175.40605,40.04031445,1860021.12167
1704927600000,2024-01-10 23:00:00,29.77597957,1392048.21908,28.51872743,1354217.11052
1704931200000,2024-01-11 00:00:00,6.42764518,296982.19477,3.23321789,151377.29069
1704934800000,2024-01-11 01:00:00,0.94449401,43791.98859,0.662,31047.74548
1704938400000,2024-01-11 02:00:00,0.021,974.45783,0.055,2564.15625
1704942000000,2024-01-11 03:00:00,2.6495342,122159.55429,0.549,25642.47107
1704945600000,2024-01-11 04:00:00,1.294,59733.17176,0.157,7316.18125
1704949200000,2024-01-11 05:00:00,6.57430542,302370.15049,0.016,742.36306
1704952800000,2024-01-11 06:00:00,11.67410209,532203.42316,0.632,29115.04681
1704956400000,2024-01-11 07:00:00,1.259,57659.71102,11.069,512056.46182
1704960000000,2024-01-11 08:00:00,0.03,1380.85326,16.04595211,745582.88363
1704963600000,2024-01-11 09:00:00,0.001,50.52582,0.895,41616.56464
1704967200000,2024-01-11 10:00:00,0.001,46.80234,30.58845734,1428395.11751
1704970800000,2024-01-11 11:00:00,2.386,111515.63143,18.82379625,889433.68269
1704974400000,2024-01-11 12:00:00,0.50023813,23433.82435,19.9375435,945442.34001
1704978000000,2024-01-11 13:00:00,14.69287195,688702.55355,7.34622226,348623.32421
1704981600000,2024-01-11 14:00:00,13.53178154,643166.86317,200.36999057,9822067.74855
1704985200000,2024-01-11 15:00:00,54.552794,2570971.35198,11.1165187,526368.88452
1704988800000,2024-01-11 16:00:00,51.49643287,2370245.49925,12.50832444,582490.00447
1704992400000,2024-01-11 17:00:00,5.74536226,262809.65574,18.30930085,850980.3254
1704996000000,2024-01-11 18:00:00,0.88845358,41057.22858,2.93838519,137426.98706
1704999600000,2024-01-11 19:00:00,2.75304336,127155.01237,5.31014935,248937.48327
1705003200000,2024-01-11 20:00:00,34.59832437,1595183.99253,15.62753129,734932.94342
1705006800000,2024-01-11 21:00:00,1.833,84309.6546,9.47519337,441605.18986
1705010400000,2024-01-11 22:00:00,1.175,53960.82095,3.27438623,152613.45636
1705014000000,2024-01-11 23:00:00,0.014,646.08674,2.316,108065.44118
1705017600000,2024-01-12 00:00:00,7.96261091,366181.08475,4.452,207347.20462
1705021200000,2024-01-12 01:00:00,7.86907009,360771.6892,2.36682003,109681.49171
1705024800000,2024-01-12 02:00:00,0.33,15129.1357,0.276,12810.63848
1705028400000,2024-01-12 03:00:00,4.163,190686.03475,0.506,23446.80877
1705032000000,2024-01-12 04:00:00,2.24328442,102673.7048,0.035,1615.2864
1705035600000,2024-01-12 05:00:00,0.0,0.0,1.10423763,51148.6935
1705039200000,2024-01-12 06:00:00,0.219,10074.35301,2.66506452,123899.14414
1705042800000,2024-01-12 07:00:00,21.92734125,1002022.82635,0.344,15887.72755
