start_time,datetime,flow_mean,flow_total,transactions_count_flow,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total,netflow_total,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total,reserve,reserve_usd,transactions_count_inflow,transactions_count_outflow,is_shutdown,exchange_supply_ratio,exchange_whale_ratio,funding_rates,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd,open_interest,close,high,low,open,volume,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1704204000000,2024-01-02 14:00:00,6.59666904,178.11006412,27,1.63448911,1.74904529,813.59725443,840.12740178,-17.287955369999963,31.75612434,18.45597479,814.34494582,857.41535715,582295.8069728,26331071750.12676,514,27,0,0.02972776,0.96842128,0.06552832,29.6271086,1338001.73766,5.2311297,240279.9174,4498293758.901,45258.73,45800.0,44970.0,45637.92,4553.21243,0.46477095,0.86835897,756586583.18158,0.53522905,871283197.20191
1704207600000,2024-01-02 15:00:00,2.49079087,92.15926203,37,0.09108715,1.73738249,23.88176934,52.28402355,-747.0270190499999,21.60300115,18.15946351,714.45278174,799.3110426,581548.77995375,26279775837.11829,574,37,0,0.0296896,0.45676992,0.0576698,17.48541745,782175.1977,7.09479117,321879.26117,4496413711.462,45184.82,45349.98,44833.33,45258.73,4301.03657,0.48734598,0.9506333,716082476.05231,0.51265402,753268873.42433
1704211200000,2024-01-02 16:00:00,4.7351287,203.6105342,43,1.93806444,1.94179073,1362.65944834,2226.83604623,1919.08270125,7.15705453,16.02528773,275.97781048,307.75334498,583467.862655,26458364389.07281,1149,43,0,0.02978749,0.61192626,0.0516541,8.41421275,377313.46884,19.03563715,866970.61013,4541470150.4882,45357.84,45399.84,44890.11,45184.83,3052.23783,0.50387438,1.01561856,467621942.63382,0.49612562,460430678.91647
1704214800000,2024-01-02 17:00:00,1.36418867,42.28984866,31,0.35989018,1.89007435,199.36587735,227.81048422,-545.0053017299999,24.92954148,18.88836546,741.33328951,772.81578595,582922.85735327,26238327752.866158,633,31,0,0.02975961,0.87513917,0.04472782,3.46420195,155655.37847,0.031,1392.22953,4490024479.9025,44966.15,45382.08,44950.48,45357.84,2540.00308,0.46835528,0.88095539,258821051.9158,0.53164472,293795864.57674
1704218400000,2024-01-02 18:00:00,4.8082625,221.18007486,46,0.45876477,1.4301301,267.18116167,297.73833482,-318.98022898,13.4069253,18.51735092,565.16776832,616.7185638,582603.87712429,26331967397.90264,649,46,0,0.02974329,0.89736903,0.03572335,0.42,18852.6415,2.90312687,131829.41211,4532607240.5956,45154.69,45271.2,44944.0,44966.16,1806.0773,0.54267317,1.18662002,265919328.51668,0.45732683,224098131.289
1704222000000,2024-01-02 19:00:00,2.43828548,65.83370795,27,1.1544072,0.82005611,730.4626131,787.30571034,83.36583037000003,26.07184741,20.43339443,692.04405593,703.93987997,582687.24295466,26227359229.46919,682,27,0,0.02974748,0.92780048,0.02918773,9.69284608,434180.56627,6.944,314433.15295,4481470330.9471,45039.49,45243.0,44790.96,45154.7,2347.28624,0.46365579,0.86447431,327330984.10143,0.53634421,378647437.7053
1704225600000,2024-01-02 20:00:00,1.34476461,64.54870148,48,0.43292307,0.86708942,341.26534684,386.60030127,-77.47150862000001,9.66816271,19.22752242,393.00526255,464.07180989,582609.77144604,26120210627.26625,893,48,0,0.02974346,0.8827343,0.02516355,2.31194042,103358.99927,2.35857304,106939.23824,4461930678.5632,44788.28,45180.55,44742.96,45039.49,1940.02489,0.49686086,0.98752179,330116388.59474,0.50313914,334287701.9878
1704229200000,2024-01-02 21:00:00,1.570208,50.24665596,32,0.85446707,0.7556577,403.12766055,441.75947535,56.66366882,12.03424395,16.41011093,357.81511342,385.09580653,582666.43511486,26253993146.13666,517,32,0,0.02974631,0.91255012,0.02434845,3.07906513,137202.96633,5.25547287,237333.42108,4492749301.842501,45119.74,45119.76,44600.0,44788.27,2043.74183,0.50870938,1.0354551,384240918.55393,0.49129062,371084095.31776
1704232800000,2024-01-02 22:00:00,2.38388178,95.355271,40,0.29419319,0.78467285,133.9253443,151.80368356,-153.61665384,7.63550844,14.41475483,259.82529087,305.4203374,582512.81846102,26233372534.753326,516,40,0,0.02973843,0.88222724,0.02496665,3.81631246,170894.06096,5.49107937,249275.38018,4450706053.68,44981.73,45297.26,44840.01,45119.74,1591.57491,0.45337505,0.82940788,234209575.30369,0.54662495,282381660.89645
1704236400000,2024-01-02 23:00:00,0.42606344,13.20796674,31,0.64062775,0.59932475,329.6310657,356.18902623,97.04756113000002,8.3594021,14.58651877,230.82009475,259.1414651,582609.86602215,26151489704.97457,556,31,0,0.02974332,0.92543858,0.02256298,1.458,65177.86729,0.082,3702.37214,4446614634.5704,44946.91,45049.98,44802.01,44981.72,1080.22719,0.47011305,0.887195,152834782.22679,0.52988695,172267407.02293
1704240000000,2024-01-03 00:00:00,2.77296439,138.64821944,50,0.52474935,0.62287606,252.52954251,292.81013496,-226.8827765899999,10.39385823,12.50999259,477.04808381,519.69291155,582382.98324556,26282116187.06081,558,50,0,0.02973166,0.86243443,0.02122745,0.106,4743.48578,2.93344147,132917.29756,4481560417.2122,45135.61,45212.57,44862.11,44946.91,1410.31904,0.530141,1.12829806,233012388.85658,0.469859,206516697.32959
1704243600000,2024-01-03 01:00:00,1.33615465,25.38693839,19,0.44411903,0.62078381,96.77421154,102.14737677,-197.80616462,15.78702849,12.85000733,296.28659961,299.95354139,582185.17708094,26315188041.595104,230,19,0,0.02972154,0.94739791,0.02187773,0.0,0.0,5.29554951,240774.52797,4513070266.1796,45317.58,45329.83,45102.72,45135.61,1166.18095,0.57104559,1.33125007,163194697.1061,0.42895441,122587559.4115
1704247200000,2024-01-03 02:00:00,4.47089195,232.48638154,52,0.14821875,0.4770426,41.26246109,50.39437507,-359.18214422999995,7.87647152,10.25066792,372.16122677,409.5765193,581825.99493671,26349445525.354725,340,52,0,0.02970314,0.81879101,0.02265333,0.202,9116.60321,4.5900765,209192.73542,4509798943.618,45274.57,45410.91,45211.73,45317.58,1434.81631,0.4879328,0.95286869,155218440.7652,0.5120672,162895938.99503
1704250800000,2024-01-03 03:00:00,0.83905237,48.66503747,58,0.99652595,0.5575573,406.28781452,454.41583471,-62.15383099999997,8.90637355,10.1418409,485.41175226,516.56966571,581763.84110571,26329001312.08193,456,58,0,0.0296999,0.89408815,0.02222122,0.18677639,8411.67149,0.0,0.0,4499297252.7626,45262.69,45310.0,45151.91,45274.57,739.36966,0.48287717,0.93377655,82251575.2076,0.51712283,88084858.38838
1704254400000,2024-01-03 04:00:00,0.53638123,18.23696175,34,14.66092047,2.52990778,4236.59510893,4266.32785813,4072.13865887,5.71144704,9.2385842,179.07248093,194.18919926,585835.97976458,26471615303.21501,291,34,0,0.02990775,0.99303083,0.02237088,2.827,127161.89735,0.257,11679.36598,4492597282.105,45183.45,45272.16,45115.59,45262.7,796.786,0.43505727,0.77009093,80540864.8768,0.56494273,104586175.23986
1704258000000,2024-01-03 05:00:00,79.87673736,3195.0694943,40,1.18646886,2.65737574,416.77583777,435.4340733,181.51188745,6.34805465,9.05466223,234.56913467,253.92218585,586017.49165203,26513365786.277805,367,40,0,0.02991692,0.95715026,0.02187042,0.088,3959.01704,0.31,14098.04503,4489725814.9255,45172.13,45294.11,45118.91,45183.45,849.38832,0.46302603,0.86228768,102282965.98213,0.53697397,118618146.49198
1704261600000,2024-01-03 06:00:00,3.62076716,159.31375506,44,0.41830558,2.62561543,190.76250977,217.10059809,-330.75828413000005,12.45133823,9.63922453,500.4536516,547.85888222,585686.7333679,26567583449.57789,519,44,0,0.02989994,0.87868256,0.02005012,0.0,0.0,0.55810977,25417.61195,4501543478.4,45326.93,45363.19,45160.0,45172.12,1264.55564,0.57554069,1.35593845,145802181.64583,0.42445931,107528613.7454
1704265200000,2024-01-03 07:00:00,0.81619522,20.40488049,25,0.60526884,2.63711821,242.85132315,255.42344925,53.51975458000001,8.07614779,9.30812304,180.40079682,201.90369467,585740.25312248,26407926889.43177,422,25,0,0.02990262,0.95077928,0.0189657,8.91895438,400604.50071,0.665,30316.80501,4475568054.5164,45011.77,45384.84,44940.93,45326.92,1780.38521,0.4326705,0.76264409,236413885.8088,0.5673295,309992416.68905
1704268800000,2024-01-03 08:00:00,1.53818719,59.98930028,39,0.37242919,2.62687681,147.55570554,159.02726226,-631.4759161899999,20.26931227,9.94844929,645.76846449,790.50317845,585108.77720629,26428815733.496086,427,39,0,0.02987034,0.92786421,0.01541637,0.0,0.0,0.977,44320.85414,4482445370.3114,45200.0,45200.0,45001.1,45011.77,1462.95207,0.54187563,1.18281339,219678230.17326,0.45812437,185725180.10787
1704272400000,2024-01-03 09:00:00,1.12241441,33.67243228,30,0.21951609,2.63706214,102.42619254,123.58755997,-92.78976638,7.21257754,9.8536073,191.24179981,216.37732635,585015.98743991,26570981115.31047,563,30,0,0.02986557,0.82877429,0.01487307,0.625,28182.73747,9.93174508,452413.71105,4487093595.208799,45344.67,45500.0,45185.39,45200.0,2006.28796,0.5365685,1.15781621,344704675.02189,0.4634315,297719682.55051
1704276000000,2024-01-03 10:00:00,3.75145866,131.301053,35,1.23881891,2.67167542,844.61877011,984.86103376,842.5515055400001,4.06598652,9.16212343,117.65383724,142.30952822,585858.53894545,26423508505.51804,795,35,0,0.02990851,0.85760198,0.01555537,5.00983974,225315.22785,0.293,13350.10476,4435033536.921,45151.91,45398.37,45045.95,45344.66,1918.59612,0.43361332,0.76557826,214694481.31308,0.56638668,280434402.12784
1704279600000,2024-01-03 11:00:00,1.46301245,52.66844818,36,0.72889621,0.68138624,522.17177607,590.40593253,-204.26756422000005,22.0742638,11.49966869,666.83284021,794.67349675,585654.27138123,25849080516.545944,810,36,0,0.02989797,0.8844284,0.01337902,62.16425963,2742141.57118,0.868,38607.42101,4119398553.2249,43702.88,45174.07,43500.0,45151.91,7849.69163,0.44032302,0.78674493,1571147070.73327,0.55967698,1997022182.97273
