start_time,active_addresses,exchange_inflow,exchange_outflow,price,transaction_count,exchange_whale_ratio,reserve_usd
1704754800000,2195,1.30409395,10.70749161,46951.04,766,0.91042488,27701327565.932938
1704758400000,1434,2.06492246,21.82904032,46668.88,588,0.74135295,27633107129.95706
1704762000000,1135,0.51002519,19.77418716,46556.62,741,0.85682811,27375023001.73444
1704765600000,1905,0.11705763,9.25531328,46779.81,415,0.57328005,27601108533.838142
1704769200000,866,1.38700835,14.02361031,46926.96,608,0.83250614,27725562033.097443
1704772800000,2222,0.51779057,12.54868446,46803.54,313,0.87903015,27612361497.04453
1704776400000,918,2.05941153,16.59420695,46714.67,535,0.91672564,27598277024.424927
1704780000000,1211,1.34570473,8.54555661,46788.01,703,0.82758313,27653635068.87806
1704783600000,430,0.40262615,16.02056143,46825.51,399,0.93132238,27673099256.05601
1704787200000,1575,0.98754883,18.82413542,46544.65,833,0.84312451,27502520420.840908
1704790800000,1081,0.50083215,10.57160096,46491.99,593,0.92756324,27472186510.20574
1704794400000,1714,1.08616356,11.50039685,46441.89,699,0.89857979,27454334186.42971
1704798000000,666,0.13833462,16.17549667,46615.99,566,0.60067804,27475126922.15232
1704801600000,566,0.6030701,11.01760079,46166.35,516,0.91158417,27648770585.337048
1704805200000,725,0.11433655,27.26065382,46834.0,549,0.49990548,27659966638.40399
1704808800000,2506,1.34390112,11.72827255,46561.1,1252,0.5971979,27523779528.208504
1704812400000,976,0.84227614,13.9985124,46868.09,747,0.92678705,27694416271.66053
1704816000000,3531,0.69637824,9.80954121,46902.88,832,0.81389551,27659492235.45263
1704819600000,1135,0.21493529,19.42575008,46715.99,760,0.71980323,27622688386.791862
1704823200000,2514,0.89743122,10.69353388,46640.5,1030,0.74745334,27530785132.28979
1704826800000,1126,0.08830386,5.41873356,46876.01,816,0.52405748,27659503908.855083
1704830400000,738,0.07013005,8.12893977,46642.54,448,0.43266123,27555797269.427383
1704834000000,1897,0.53151518,26.10383847,45439.44,769,0.76272215,27211964886.745903
1704837600000,1909,2.31739796,13.05929326,46254.0,766,0.85292018,27138800629.07001
1704841200000,794,0.53283047,13.59137703,46110.0,509,0.88199334,27187166205.58548
1704844800000,453,0.16471399,3.33699465,45856.42,211,0.83886554,27102659894.00283
1704848400000,1561,2.50349259,3.46804397,45929.3,628,0.9220003,27153916298.31674
