start_time,open_interest,high open interest,low open interest,open value of open interest,funding_rate,high funding rate,low funding rate,open funding rate,long_account,longShortRatio,shortAccount
1.70468E+12,70390.16,70471.28,70126.18,70126.18,0.01,0.01,0.01,0.01,53.84,1.17,46.16
1.70468E+12,69719.05,70402.8,69631.24,70390.16,0.01,0.01,0.01,0.01,54.19,1.18,45.81
1.70468E+12,69869.99,69869.99,69533.15,69719.05,0.01,0.01,0.01,0.01,54.42,1.19,45.58
1.70469E+12,70324.94,70343.84,69803.04,69869.99,0.01,0.01,0.01,0.01,55.1,1.23,44.9
1.70469E+12,70722.01,70722.01,70307.19,70324.94,0.01,0.01,0.01,0.01,55.5,1.25,44.5
1.70469E+12,70304.61,70847.66,69914.41,70722.01,0.01,0.01,0.01,0.01,55.85,1.27,44.15
1.7047E+12,70472.83,70630.85,70237.55,70304.61,0.01,0.01,0.01,0.01,54.92,1.22,45.08
1.7047E+12,70560.08,70712.67,70472.83,70472.83,0.01,0.01,0.01,0.01,54.84,1.21,45.16
1.7047E+12,70414.96,70885.84,70376.61,70560.08,0.01,0.01,0.01,0.01,54.5,1.2,45.5
1.70471E+12,71281.06,71284.03,70391.76,70414.96,0.01,0.01,0.01,0.01,55.02,1.22,44.98
1.70471E+12,73299.02,73367.48,71281.06,71281.06,0.01,0.01,0.01,0.01,54.23,1.19,45.77
1.70472E+12,73787.27,73787.27,72515.15,73299.02,0.01,0.01,0.01,0.01,52.11,1.09,47.89
1.70472E+12,74419.33,74643.84,73564.51,73787.27,0.01,0.01,0.01,0.01,50.57,1.02,49.43
1.70472E+12,74895.98,75066.23,74286.63,74419.33,0.01,0.01,0.01,0.01,48.44,0.94,51.56
1.70473E+12,74525.27,74945.41,74178.22,74895.98,0.01,0.01,0.01,0.01,47.96,0.92,52.04
1.70473E+12,74859.58,75107.41,74499.33,74525.27,0.01,0.01,0.01,0.01,48.65,0.95,51.35
1.70473E+12,75440.86,76011.5,74828.31,74859.58,0.01,0.01,0.01,0.01,48.62,0.95,51.38
1.70474E+12,74575.2,76713.43,74195.95,75440.86,0.01,0.01,0.01,0.01,48.23,0.93,51.77
1.70474E+12,73939.11,74754.9,73452.47,74575.2,0.01,0.01,0.01,0.01,48.34,0.94,51.66
1.70474E+12,73617.36,73995.06,73481.52,73939.11,0.01,0.01,0.01,0.01,47.07,0.89,52.93
1.70475E+12,74059.6,74196.54,73617.36,73617.36,0.01,0.01,0.01,0.01,45.6,0.84,54.4
1.70475E+12,73879.8,74115.28,73729.48,74059.6,0.01,0.01,0.01,0.01,45,0.82,55
1.70475E+12,74597.29,74608.55,73879.8,73879.8,0.01,0.01,0.01,0.01,44.89,0.82,55.11
1.70476E+12,73053.97,74831.35,73053.97,74597.29,0.01,0.01,0.01,0.01,44.13,0.79,55.87
1.70476E+12,73693.68,73863.8,73034,73053.97,0.01,0.01,0.01,0.01,42.94,0.75,57.06
1.70477E+12,73481.52,73693.68,73449.6,73693.68,0.01,0.01,0.01,0.01,43.07,0.76,56.93
1.70477E+12,73877.57,73877.57,73481.22,73481.52,0.01,0.01,0.01,0.01,42.9,0.75,57.1
1.70477E+12,73679.76,73970.2,73631.82,73877.57,0.01,0.01,0.01,0.01,42.68,0.75,57.32
1.70478E+12,73599,73684.36,73454.57,73679.76,0.01,0.01,0.01,0.01,42.63,0.74,57.37
1.70478E+12,74329.21,74329.21,73599,73599,0.01,0.01,0.01,0.01,42.67,0.74,57.33
1.70478E+12,74567.49,74588.91,74271.22,74329.21,0.01,0.01,0.01,0.01,42.71,0.75,57.29
1.70479E+12,74206.33,74645.8,74206.33,74567.49,0.01,0.01,0.01,0.01,42.82,0.75,57.18
1.70479E+12,73882.59,74207.31,73622.74,74206.33,0.01,0.01,0.01,0.01,42.87,0.75,57.13
1.70479E+12,73689.76,74163.81,73687.19,73882.59,0.01,0.01,0.01,0.01,43.45,0.77,56.55
1.7048E+12,73585.71,73726.91,73585.71,73689.76,0.01,0.01,0.01,0.01,44.33,0.8,55.67
1.7048E+12,72543.29,74694.17,72490.55,73585.71,0.01,0.01,0.01,0.01,44.97,0.82,55.03
1.70481E+12,73808.29,74062.41,72543.29,72543.29,0.01,0.01,0.01,0.01,44.5,0.8,55.5
1.70481E+12,73623.66,74178.37,73341.62,73808.29,0.01,0.01,0.01,0.01,45.42,0.83,54.58
1.70481E+12,74649.5,74666.17,73340.21,73623.66,0.01,0.01,0.01,0.01,46.1,0.86,53.9
1.70482E+12,75337.66,75442.57,74649.5,74649.5,0.01,0.01,0.01,0.01,45.43,0.83,54.57
1.70482E+12,74664.07,75353,74629.78,75337.66,0.01,0.01,0.01,0.01,45.31,0.83,54.69
1.70482E+12,74584.41,74849.68,74431.26,74664.07,0.01,0.01,0.01,0.01,45.72,0.84,54.28
1.70483E+12,74591.64,74591.64,74273.15,74584.41,0.01,0.01,0.01,0.01,46.56,0.87,53.44
1.70483E+12,74111.08,74628.65,74020.43,74591.64,0.01,0.01,0.01,0.01,46.26,0.86,53.74
1.70483E+12,70445.05,75527.09,70203.92,74111.08,0.01,0.01,0.01,0.01,46.05,0.85,53.95
1.70484E+12,70618.16,70910.55,70003.75,70445.05,0.01,0.01,0.01,0.01,52.21,1.09,47.79
1.70484E+12,70790.91,70966.87,70598.31,70618.16,0.01,0.01,0.01,0.01,53.73,1.16,46.27
1.70484E+12,70903.49,71183.66,70790.91,70790.91,0.01,0.01,0.01,0.01,53.76,1.16,46.24
1.70485E+12,71090.03,71155.29,70636.3,70903.49,0.01,0.01,0.01,0.01,54.01,1.17,45.99
1.70485E+12,71370.03,71370.03,71078.22,71090.03,0.01,0.01,0.01,0.01,54.45,1.2,45.55
1.70486E+12,71535.95,71663.91,71370.03,71370.03,0.01,0.01,0.01,0.01,54.3,1.19,45.7
1.70486E+12,71312.02,71686.65,71309.17,71535.95,0.01,0.01,0.01,0.01,54.43,1.19,45.57
1.70486E+12,71283.82,71376.48,71261.95,71312.02,0.01,0.01,0.01,0.01,54.72,1.21,45.28
1.70487E+12,71439.4,71469.42,71283.82,71283.82,0.01,0.01,0.01,0.01,55.11,1.23,44.89
1.70487E+12,71392.28,71583.62,71267.39,71439.4,0.01,0.01,0.01,0.01,55.32,1.24,44.68
1.70487E+12,71587.08,71611.88,71085.46,71392.28,0.01,0.01,0.01,0.01,55.42,1.24,44.58
1.70488E+12,70326.23,71923.48,70313.73,71587.08,0.01,0.01,0.01,0.01,56.15,1.28,43.85
1.70488E+12,70476.76,70504.49,70118.48,70326.23,0.01,0.01,0.01,0.01,58.17,1.39,41.83
1.70488E+12,70772.15,70772.15,70339.7,70476.76,0.01,0.01,0.01,0.01,58.35,1.4,41.65
1.70489E+12,72287.27,72287.27,70772.15,70772.15,0.01,0.01,0.01,0.01,58.91,1.43,41.09
1.70489E+12,71585.5,72407.6,71563.08,72287.27,0.01,0.01,0.01,0.01,59.46,1.47,40.54
1.7049E+12,71620.72,71855.3,71342.73,71585.5,0.01,0.01,0.01,0.01,60.34,1.52,39.66
1.7049E+12,70773.61,71798.78,70514.65,71620.72,0.01,0.01,0.01,0.01,60.62,1.54,39.38
1.7049E+12,71120.25,71148.15,70225.62,70773.61,0.01,0.01,0.01,0.01,60.81,1.55,39.19
1.70491E+12,72910.06,72910.06,70827.13,71120.25,0.01,0.01,0.01,0.01,61.47,1.6,38.53
1.70491E+12,70795.69,72929.95,70479.5,72910.06,0.01,0.01,0.01,0.01,61.74,1.61,38.26
1.70491E+12,70295.46,71273.91,70268.89,70795.69,0.01,0.01,0.01,0.01,60.01,1.5,39.99
1.70492E+12,69669.55,70522.62,68206.86,70295.46,0.01,0.01,0.01,0.01,60.5,1.53,39.5
1.70492E+12,68928.42,70028.67,68578.02,69669.55,0.01,0.01,0.01,0.01,61.86,1.62,38.14
1.70492E+12,69150.9,69150.9,68335.19,68928.42,0.01,0.01,0.01,0.01,62.94,1.7,37.06
1.70493E+12,68565.25,69652.37,68459.06,69150.9,0.01,0.01,0.01,0.01,62.06,1.64,37.94
1.70493E+12,68858.38,68918.03,68458.86,68565.25,0.01,0.01,0.01,0.01,61.65,1.61,38.35
